CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpDate,school_code
19642461995406,602820,09516,Active,Los Angeles,Antelope Valley Union High,Littlerock High,10833 East Avenue R,10833 East Avenue R,Littlerock,93543-4106,CA,10833 East Avenue R,10833 East Avenue R,Littlerock,93543,CA,(661) 944-5209,No Data,www.lhslobos.org,07/01/1990,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.572721,-117.93595,Jose,Barajas,jbarajas@avhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/16/2017,1995406
19642461995844,602820,04582,Active,Los Angeles,Antelope Valley Union High,Lancaster High,44701 32nd Street West,44701 32nd St. West,Lancaster,93536-7023,CA,44701 32nd Street West,44701 32nd St. West,Lancaster,93536-7023,CA,(661) 726-7649,No Data,www.lnhs.org,09/07/1995,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.694853,-118.18835,Kristen,Tepper,ktepper@avhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,04/11/2018,1995844
19642461996537,602820,08714,Active,Los Angeles,Antelope Valley Union High,Desert Sands Charter,44130 20th Street West,44130 20th St. West,Lancaster,93534-4045,CA,177 Holston Drive,177 Holston Dr.,Lancaster,93535,CA,(661) 942-3357,No Data,www.dschs.org,09/04/2001,No Data,Y,0411,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.684768,-118.16417,Taera,Childers,principal@dschs.org,No Data,No Data,No Data,No Data,No Data,No Data,01/17/2019,1996537
19642611930288,602970,00223,Active,Los Angeles,Arcadia Unified,Arcadia High,180 Campus Drive,180 Campus Dr.,Arcadia,91007-6958,CA,180 Campus Drive,180 Campus Dr.,Arcadia,91007-6958,CA,(626) 821-1711,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.130635999999996,-118.03865,Brent,Forsee,bforsee@ausd.net,No Data,No Data,No Data,No Data,No Data,No Data,12/07/2016,1930288
19642791930528,603600,00268,Active,Los Angeles,Azusa Unified,Azusa High,240 North Cerritos Avenue,240 North Cerritos Ave.,Azusa,91702-3733,CA,PO Box 500,PO Box 500,Azusa,91702-0500,CA,(626) 815-3400,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.125392,-117.89936000000002,Martin,Gomez,mgomez4@azusa.org,No Data,No Data,No Data,No Data,No Data,No Data,10/09/2017,1930528
19642791933449,603600,00273,Active,Los Angeles,Azusa Unified,Gladstone High,1340 North Enid,1340 North Enid,Covina,91722-1214,CA,PO Box 500,PO Box 500,Azusa,91702-0500,CA,(626) 815-3600,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.104997,-117.91436000000002,Chris,Silvas,csilvas@azusa.org,No Data,No Data,No Data,No Data,No Data,No Data,03/30/2017,1933449
19642871930601,603690,00324,Active,Los Angeles,Baldwin Park Unified,Baldwin Park High,3900 North Puente Avenue,3900 North Puente Ave.,Baldwin Park,91706-4428,CA,3900 North Puente Avenue,3900 North Puente Ave.,Baldwin Park,91706-4428,CA,(626) 960-5431,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.083315,-117.94995,Gilberto,Rodriguez,grodriguez896@bpusd.net,No Data,No Data,No Data,No Data,No Data,No Data,09/21/2018,1930601
19642871938166,603690,00338,Active,Los Angeles,Baldwin Park Unified,Sierra Vista High,3600 North Frazier Street,3600 North Frazier St.,Baldwin Park,91706-3897,CA,3600 North Frazier Street,3600 North Frazier St.,Baldwin Park,91706-3897,CA,(626) 960-7741,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.076695,-117.98053,Harris,Pratt,hvpratt879@bpusd.net,No Data,No Data,No Data,No Data,No Data,No Data,09/21/2018,1938166
19642871996479,603690,08715,Active,Los Angeles,Baldwin Park Unified,Opportunities for Learning - Baldwin Park,320 North Halstead Street Suite 220,320 North Halstead St. Ste. 220,Pasadena,91107-3147,CA,320 North Halstead Street Suite 220,320 North Halstead St. Ste. 220,Pasadena,91107-3147,CA,(626) 921-8200,No Data,No Data,07/01/2001,No Data,Y,0402,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,HS,High School,K-12,7-12,N,N,34.152079,-118.07903,Steven,Lawrence,stevenlawrence@emsofl.com,No Data,No Data,No Data,No Data,No Data,No Data,10/03/2018,1996479
19642951930700,604110,00371,Active,Los Angeles,Bassett Unified,Bassett Senior High,755 Ardilla Avenue,755 Ardilla Ave.,La Puente,91746-2163,CA,904 North Willow Avenue,904 North Willow Ave.,La Puente,91746-1615,CA,(626) 931-2800,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.051475,-117.97641999999999,Gabriel,Fernandez,gfernandez@bassettusd.org,Arin,McDonald,mamcdonald@bassettusd.org,Veronica,Cueva,vcueva@bassettusd.org,07/11/2018,1930700
19643031930775,604440,00396,Active,Los Angeles,Bellflower Unified,Bellflower High,15301 South McNab Avenue,15301 South McNab Ave.,Bellflower,90706-4101,CA,16703 South Clark Avenue,16703 South Clark Ave.,Bellflower,90706,CA,(562) 920-1801,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,C,N,33.894402,-118.1131,Mike,Lundgren,mlundgren@busd.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,11/23/2016,1930775
19643031935618,604440,00402,Active,Los Angeles,Bellflower Unified,Mayfair High,6000 North Woodruff Avenue,6000 North Woodruff Ave.,Lakewood,90713-1124,CA,16703 South Clark Avenue,16703 South Clark Ave.,Bellflower,90706,CA,(562) 925-9981,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,C,N,33.86367,-118.11713999999999,Julie,Stanley,jaadams@busd.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,11/23/2016,1935618
19643111930981,604830,00471,Active,Los Angeles,Beverly Hills Unified,Beverly Hills High,241 Moreno Drive,241 Moreno Dr.,Beverly Hills,90212-3639,CA,241 Moreno Drive,241 Moreno Dr.,Beverly Hills,90212-3639,CA,(310) 229-3685,8300,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.06208,-118.41056999999999,Mark,Mead,mmead@bhusd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/16/2017,1930981
19643291931088,605610,00505,Active,Los Angeles,Bonita Unified,Bonita High,3102 D Street,3102 D St.,La Verne,91750-4023,CA,115 West Allen Avenue,115 West Allen Ave.,San Dimas,91773-1437,CA,(909) 971-8220,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.107803999999994,-117.76728999999999,Kenneth,Ritchie,ritchie@bonita.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,06/28/2017,1931088
19643291937739,605610,00514,Active,Los Angeles,Bonita Unified,San Dimas High,800 West Covina Boulevard,800 West Covina Blvd.,San Dimas,91773-1473,CA,115 West Allen Avenue,115 West Allen Ave.,San Dimas,91773-1437,CA,(909) 971-8230,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.099307,-117.82293,Scott,Sparks,ssparks@bonita.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,08/06/2018,1937739
19643371931187,606450,00563,Active,Los Angeles,Burbank Unified,Burbank High,902 North Third Street,902 North Third St.,Burbank,91502-1018,CA,902 North Third Street,902 North Third St.,Burbank,91502-1018,CA,(818) 558-4700,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.188238,-118.31597,Michael,Bertram,michaelbertram@burbankusd.org,No Data,No Data,No Data,No Data,No Data,No Data,06/24/2015,1931187
19643371931237,606450,00564,Active,Los Angeles,Burbank Unified,Burroughs High,1920 Clark Avenue,1920 Clark Ave.,Burbank,91506-1918,CA,1920 Clark Avenue,1920 Clark Ave.,Burbank,91506-1918,CA,(818) 558-4777,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.17046,-118.32713999999999,Deborah,Madrigal,deborahmadrigal@burbankusd.org,No Data,No Data,No Data,No Data,No Data,No Data,06/24/2015,1931237
19643520128488,607920,13705,Active,Los Angeles,Centinela Valley Union High,Family First Charter,4953 Marine Avenue,4953 Marine Ave.,Lawndale,90260-1250,CA,4953 Marine Avenue,4953 Marine Ave.,Lawndale,90260-1250,CA,(310) 946-0379,No Data,No Data,07/01/2013,No Data,Y,1558,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,33.894642,-118.3657,Paul,Guzman,pguzman@newopps.org,No Data,No Data,No Data,No Data,No Data,No Data,02/13/2018,128488
19643521933951,607920,00756,Active,Los Angeles,Centinela Valley Union High,Hawthorne High,4859 West El Segundo Boulevard,4859 West El Segundo Blvd.,Hawthorne,90250-4204,CA,4859 West El Segundo Boulevard,4859 West El Segundo Blvd.,Hawthorne,90250-4204,CA,(310) 263-4400,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,33.916456,-118.3629,Vanessa,Landesfeind,landesfeindv@centinela.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,12/07/2016,1933951
19643521934926,607920,07515,Active,Los Angeles,Centinela Valley Union High,Lawndale High,14901 South Inglewood Avenue,14901 South Inglewood Ave.,Lawndale,90260-1251,CA,14901 South Inglewood Avenue,14901 South Inglewood Ave.,Lawndale,90260-1251,CA,(310) 263-3102,No Data,No Data,09/01/1998,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,33.896373,-118.36136,Paula,Hart Rodas,rodasp@centinela.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,12/07/2016,1934926
19643521935048,607920,00759,Active,Los Angeles,Centinela Valley Union High,Leuzinger High,4118 West Rosecrans Avenue,4118 West Rosecrans Ave.,Lawndale,90260-1601,CA,4118 West Rosecrans Avenue,4118 West Rosecrans Ave.,Lawndale,90260-1601,CA,(310) 263-2208,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,33.90137,-118.34687,Pamela,Brown,brownp@centinela.k12.ca.us,No Data,No Data,No Data,No Data,No Data,No Data,08/15/2017,1935048
19643781931666,608190,00801,Active,Los Angeles,Charter Oak Unified,Charter Oak High,1430 East Covina Boulevard,1430 East Covina Blvd.,Covina,91724-1651,CA,1430 East Covina Boulevard,1430 East Covina Blvd.,Covina,91724-1651,CA,(626) 915-5841,No Data,www.cousd.net,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.09937,-117.86137,Joey,Strycula,jstrycula@cousd.net,No Data,No Data,No Data,No Data,No Data,No Data,09/20/2018,1931666
19643941931823,608760,00887,Active,Los Angeles,Claremont Unified,Claremont High,1601 North Indian Hill Boulevard,1601 North Indian Hill Blvd.,Claremont,91711-2643,CA,1601 North Indian Hill Boulevard,1601 North Indian Hill Blvd.,Claremont,91711-2643,CA,(909) 624-9053,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.112944,-117.72041000000002,Brett,O'Connor,boconnor@cusd.claremont.edu,No Data,No Data,No Data,No Data,No Data,No Data,09/14/2018,1931823
19644361932086,610050,01093,Active,Los Angeles,Covina-Valley Unified,Covina High,463 South Hollenbeck Avenue,463 South Hollenbeck Ave.,Covina,91723-2955,CA,463 South Hollenbeck Avenue,463 South Hollenbeck Ave.,Covina,91723-2955,CA,(626) 974-6020,No Data,www.covinahigh.net,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.081555,-117.899,Kenneth,Stratton,kstratton@c-vusd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/16/2017,1932086
19644361936418,610050,01102,Active,Los Angeles,Covina-Valley Unified,Northview High,1016 West Cypress Avenue,1016 West Cypress Ave.,Covina,91722-3145,CA,1016 West Cypress Avenue,1016 West Cypress Ave.,Covina,91722-3145,CA,(626) 974-6120,No Data,www.nhsvikings.org,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.095751,-117.91103999999999,Manuel,Burciaga,mburciaga@c-vusd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/24/2018,1936418
19644361938372,610050,01105,Active,Los Angeles,Covina-Valley Unified,South Hills High,645 South Barranca Street,645 South Barranca St.,West Covina,91723-0269,CA,645 South Barranca Street,645 South Barranca St.,West Covina,91723-0269,CA,(626) 974-6220,No Data,www.southhillshigh.com,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.062090000000005,-117.88263,Matt,Dalton,mdalton@c-vusd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/09/2016,1938372
19644441932201,610260,01116,Active,Los Angeles,Culver City Unified,Culver City High,4401 Elenda Street,4401 Elenda St.,Culver City,90230-4101,CA,4401 Elenda Street,4401 Elenda St.,Culver City,90230-4101,CA,(310) 842-4200,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.007671,-118.40207,Lisa,Cooper,lisacooper@ccusd.org,No Data,No Data,No Data,No Data,No Data,No Data,10/08/2015,1932201
19644511932441,611460,01264,Active,Los Angeles,Downey Unified,Downey High,11040 Brookshire Avenue,11040 Brookshire Ave.,Downey,90241-3816,CA,11040 Brookshire Avenue,11040 Brookshire Ave.,Downey,90241-3816,CA,(562) 869-7301,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,33.939009000000006,-118.12902,Tom,Houts,thouts@dusd.net,No Data,No Data,No Data,No Data,No Data,No Data,06/18/2015,1932441
19644511939164,611460,01278,Active,Los Angeles,Downey Unified,Warren (Earl) High,8141 De Palma Street,8141 De Palma St.,Downey,90241-5102,CA,8141 De Palma Street,8141 De Palma St.,Downey,90241-5102,CA,(562) 869-7306,No Data,No Data,07/01/1980,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,33.934857,-118.14068999999999,Laura,Rivas,lrivas@dusd.net,No Data,No Data,No Data,No Data,No Data,No Data,07/02/2018,1939164
19644690128736,611520,13697,Active,Los Angeles,Duarte Unified,Opportunities for Learning - Duarte,806 Huntington Drive,806 Huntington Dr.,Monrovia,91016-3616,CA,"320 North Halstead Street, Suite 220","320 North Halstead St., Ste. 220",Pasadena,91107,CA,(626) 921-8200,No Data,www.emsofl.com,07/01/2013,No Data,Y,1599,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,N,N,34.140182,-118.0173,Steven,Lawrence,stevenlawrence@emsofl.com,No Data,No Data,No Data,No Data,No Data,No Data,08/08/2018,128736
19644690134858,611520,14083,Active,Los Angeles,Duarte Unified,California School of the Arts - San Gabriel Valley,1401 Highland Avenue,1401 Highland Ave.,Duarte,91010-2523,CA,1401 Highland Avenue,1401 Highland Ave.,Duarte,91010-2523,CA,(657) 321-4000,No Data,www.sgv.csarts.net,08/14/2017,No Data,Y,1838,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-11,N,N,34.136932,-117.96885,William,Wallace,william.wallace@sgv.csarts.net,No Data,No Data,No Data,No Data,No Data,No Data,09/06/2018,134858
19644691932482,611520,01284,Active,Los Angeles,Duarte Unified,Duarte High,1565 East Central Avenue,1565 East Central Ave.,Duarte,91010-2505,CA,1620 Huntington Drive,1620 Huntington Dr.,Duarte,91010,CA,(626) 599-5700,No Data,No Data,09/09/1958,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,34.136066,-117.97128000000001,Luis,Haro,lharo@duarteusd.org,No Data,No Data,No Data,No Data,No Data,No Data,07/24/2018,1932482
19645191930320,612120,01363,Active,Los Angeles,El Monte Union High,Arroyo High,4921 North Cedar Avenue,4921 North Cedar Ave.,El Monte,91732-1099,CA,4921 North Cedar Avenue,4921 North Cedar Ave.,El Monte,91732-1099,CA,(626) 444-9201,No Data,www.emuhsd.org/ahs,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.093681,-118.02058999999998,Angelita,Gonzales-Hernandez,angelita.gonzales@emuhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,03/02/2018,1930320
19645191932664,612120,01364,Active,Los Angeles,El Monte Union High,El Monte High,3048 North Tyler Avenue,3048 North Tyler Ave.,El Monte,91731-3365,CA,3048 North Tyler Avenue,3048 North Tyler Ave.,El Monte,91731-3365,CA,(626) 444-7701,No Data,www.emuhsd.org/emhs,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.064316,-118.03583,Robin,Torres,robin.torres@emuhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,03/02/2018,1932664
19645191932680,612120,01365,Active,Los Angeles,El Monte Union High,Mountain View High,2900 Parkway Drive,2900 Pkwy. Dr.,El Monte,91732-3695,CA,2900 Parkway Drive,2900 Pkwy. Dr.,El Monte,91732-3695,CA,(626) 443-6181,No Data,www.emuhsd.org/mvhs,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.053827000000005,-118.0107,Jose,Marquez,jose.marquez@emuhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,03/02/2018,1932680
19645191937481,612120,01366,Active,Los Angeles,El Monte Union High,Rosemead High,9063 East Mission Drive,9063 East Mission Dr.,Rosemead,91770-4411,CA,9063 East Mission Drive,9063 East Mission Dr.,Rosemead,91770-4411,CA,(626) 286-3141,No Data,www.emuhsd.org/rhs,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.083794,-118.07156,Brian,Bristol,brian.bristol@emuhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,03/02/2018,1937481
19645191995661,612120,00439,Active,Los Angeles,El Monte Union High,South El Monte High,1001 Durfee Avenue,1001 Durfee Ave.,South El Monte,91733-4409,CA,1001 Durfee Avenue,1001 Durfee Ave.,South El Monte,91733-4409,CA,(626) 258-5600,No Data,www.emuhsd.org/semhs,09/08/1992,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,34.035173,-118.0451,Amy,Avina,amy.avina@emuhsd.org,No Data,No Data,No Data,No Data,No Data,No Data,03/02/2018,1995661
19645270133835,612180,13988,Active,Los Angeles,El Rancho Unified,Ellen Ochoa Prep Academy,8110 Paramount Boulevard,8110 Paramount Blvd.,Pico Rivera,90660-4814,CA,8110 Paramount Boulevard,8110 Paramount Blvd.,Pico Rivera,90660-4814,CA,(562) 801-7560,No Data,www.erusd.org,08/17/2016,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-10,N,Y,33.969865000000006,-118.11276000000001,Kendall,Goyenaga,kgoyenaga@erusd.org,No Data,No Data,No Data,No Data,No Data,No Data,08/15/2018,133835
